Tam. Entrada,BubbleSort,SelectionSort,InsertionSort,TimSort,HeapSort,QuickSort,ShellSort,MergeSort
1000,0.1309981346130371,0.0340018272399902,0.0849971771240234,0.0079991817474365,0.0029952526092529,0.003000259399414,0.0019989013671875,0.0039999485015869
10000,14.062989950180054,3.333998680114746,8.568639755249023,0.0669975280761718,0.0320124626159668,0.0459990501403808,0.0019965171813964,0.0690100193023681
100000,1428.7358570098877,338.0095624923706,869.8970880508423,0.8330020904541016,0.4100015163421631,0.7140021324157715,0.0129995346069335,0.5230028629302979
200000,21518.600564718246,5879.933522462845,9406.396547079086,11.269873142242432,3.165012836456299,5.380023002624512,8349.5985019207,3.5100154876708984
300000,50668.58991479874,13339.477264881134,23612.38832426071,6.671031475067139,8.104037284851074,7.389033317565918,15507.169617176056,8.628040313720703
400000,96718.65842199326,24738.02926421165,51474.45243144035,18.532087326049805,8.605039358139038,16.31007671356201,21694.295948266983,16.22107434272766
500000,173553.52740764618,38814.4395673275,88383.32016038895,24.90012192726136,11.440056324005129,18.68009042739868,27171.271966695786,9.453057050704956
600000,225520.50674009323,56037.51180171967,123882.87745308876,25.779369115829468,12.758151769638062,24.75011157989502,27971.92187809944,17.77008605003357
700000,0.0,76823.59585809708,177152.9307935238,34.924981117248535,16.57999610900879,28.188836336135864,35709.505244493484,24.550107955932617
800000,0.0,101242.22386574744,0.0,38.37063694000244,23.475595712661743,27.820396661758423,37844.604917526245,26.51014471054077
900000,0.0,129712.10333848,0.0,39.689218044281006,21.358119010925293,38.31820774078369,37841.71753573418,28.69890666007996
1000000,142145.41786193848,34867.42906975746,87281.21782922745,10.620044469833374,5.140018939971924,10.110037088394163,0.1300044059753418,6.140029430389404
